min_name,agc_name
สำนักนายกรัฐมนตรี,สำนักงานปลัดสำนักนายกรัฐมนตรี
สำนักนายกรัฐมนตรี,กรมประชาสัมพันธ์
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการคุ้มครองผู้บริโภค
สำนักนายกรัฐมนตรี,สำนักเลขาธิการนายกรัฐมนตรี
สำนักนายกรัฐมนตรี,สำนักเลขาธิการคณะรัฐมนตรี
สำนักนายกรัฐมนตรี,สำนักข่าวกรองแห่งชาติ
สำนักนายกรัฐมนตรี,สำนักงบประมาณ
สำนักนายกรัฐมนตรี,สำนักงานสภาความมั่นคงแห่งชาติ
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการกฤษฎีกา
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการข้าราชการพลเรือน
สำนักนายกรัฐมนตรี,สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ
สำนักนายกรัฐมนตรี,กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการพัฒนาระบบราชการ
สำนักนายกรัฐมนตรี,สำนักงานส่งเสริมการจัดประชุมและนิทรรศการ (องค์การมหาชน)
สำนักนายกรัฐมนตรี,สำนักงานบริหารและพัฒนาองค์ความรู้ (องค์การมหาชน)
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการสุขภาพแห่งชาติ
สำนักนายกรัฐมนตรี,สถาบันบริหารจัดการธนาคารที่ดิน (องค์การมหาชน)
สำนักนายกรัฐมนตรี,สถาบันคุณวุฒิวิชาชีพ (องค์การมหาชน)
สำนักนายกรัฐมนตรี,สำนักงานพัฒนาพิงคนคร (องค์การมหาชน)
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการส่งเสริมการลงทุน
สำนักนายกรัฐมนตรี,ราชวิทยาลัยจุฬาภรณ์
สำนักนายกรัฐมนตรี,สำนักงานทรัพยากรน้ำแห่งชาติ
สำนักนายกรัฐมนตรี,สำนักงานพัฒนารัฐบาลดิจิทัล (องค์การมหาชน)
สำนักนายกรัฐมนตรี,สำนักงานส่งเสริมเศรษฐกิจสร้างสรรค์ (องค์การมหาชน)
สำนักนายกรัฐมนตรี,ศูนย์อำนวยการรักษาผลประโยชน์ของชาติทางทะเล
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการการรักษาความมั่นคงปลอดภัยไซเบอร์แห่งชาติ
สำนักนายกรัฐมนตรี,สำนักงานขับเคลื่อนการปฏิรูปประเทศ ยุทธศาสตร์ชาติ และการสร้างความสามัคคีปรองดอง
สำนักนายกรัฐมนตรี,สำนักงานคณะกรรมการนโยบายที่ดินแห่งชาติ
กระทรวงกลาโหม,สำนักงานปลัดกระทรวงกลาโหม
กระทรวงกลาโหม,กองทัพบก
กระทรวงกลาโหม,กองทัพเรือ
กระทรวงกลาโหม,กองทัพอากาศ
กระทรวงกลาโหม,กองบัญชาการกองทัพไทย
กระทรวงกลาโหม,สถาบันเทคโนโลยีป้องกันประเทศ
กระทรวงการคลัง,สำนักงานปลัดกระทรวงการคลัง
กระทรวงการคลัง,กรมธนารักษ์
กระทรวงการคลัง,กรมบัญชีกลาง
กระทรวงการคลัง,กรมศุลกากร
กระทรวงการคลัง,กรมสรรพสามิต
กระทรวงการคลัง,กรมสรรพากร
กระทรวงการคลัง,สำนักงานคณะกรรมการนโยบายรัฐวิสาหกิจ
กระทรวงการคลัง,สำนักงานบริหารหนี้สาธารณะ
กระทรวงการคลัง,สำนักงานเศรษฐกิจการคลัง
กระทรวงการคลัง,สำนักงานความร่วมมือพัฒนาเศรษฐกิจกับประเทศเพื่อนบ้าน (องค์การมหาชน)
กระทรวงการต่างประเทศ,สำนักงานปลัดกระทรวงการต่างประเทศ
กระทรวงการท่องเที่ยวและกีฬา,สำนักงานปลัดกระทรวงการท่องเที่ยวและกีฬา
กระทรวงการท่องเที่ยวและกีฬา,กรมพลศึกษา
กระทรวงการท่องเที่ยวและกีฬา,กรมการท่องเที่ยว
กระทรวงการท่องเที่ยวและกีฬา,มหาวิทยาลัยการกีฬาแห่งชาติ
กระทรวงการท่องเที่ยวและกีฬา,องค์การบริหารการพัฒนาพื้นที่พิเศษเพื่อการท่องเที่ยวอย่างยั่งยืน (องค์การมหาชน)
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,สำนักงานปลัดกระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมพัฒนาสังคมและสวัสดิการ
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมกิจการสตรีและสถาบันครอบครัว
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมกิจการเด็กและเยาวชน
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,สถาบันพัฒนาองค์กรชุมชน (องค์การมหาชน)
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กรมกิจการผู้สูงอายุ
กระทรวงเกษตรและสหกรณ์,สำนักงานปลัดกระทรวงเกษตรและสหกรณ์
กระทรวงเกษตรและสหกรณ์,กรมชลประทาน
กระทรวงเกษตรและสหกรณ์,กรมตรวจบัญชีสหกรณ์
กระทรวงเกษตรและสหกรณ์,กรมประมง
กระทรวงเกษตรและสหกรณ์,กรมปศุสัตว์
กระทรวงเกษตรและสหกรณ์,กรมพัฒนาที่ดิน
กระทรวงเกษตรและสหกรณ์,กรมวิชาการเกษตร
กระทรวงเกษตรและสหกรณ์,กรมส่งเสริมการเกษตร
กระทรวงเกษตรและสหกรณ์,กรมส่งเสริมสหกรณ์
กระทรวงเกษตรและสหกรณ์,สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม
กระทรวงเกษตรและสหกรณ์,สำนักงานมาตรฐานสินค้าเกษตรและอาหารแห่งชาติ
กระทรวงเกษตรและสหกรณ์,สำนักงานเศรษฐกิจการเกษตร
กระทรวงเกษตรและสหกรณ์,สำนักงานพัฒนาการวิจัยการเกษตร (องค์การมหาชน)
กระทรวงเกษตรและสหกรณ์,สถาบันวิจัยและพัฒนาพื้นที่สูง (องค์การมหาชน)
กระทรวงเกษตรและสหกรณ์,กรมการข้าว
กระทรวงเกษตรและสหกรณ์,สำนักงานพิพิธภัณฑ์เกษตรเฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัว (องค์การมหาชน)
กระทรวงเกษตรและสหกรณ์,กรมหม่อนไหม
กระทรวงเกษตรและสหกรณ์,กรมฝนหลวงและการบินเกษตร
กระทรวงคมนาคม,สำนักงานปลัดกระทรวงคมนาคม
กระทรวงคมนาคม,กรมเจ้าท่า
กระทรวงคมนาคม,กรมการขนส่งทางบก
กระทรวงคมนาคม,กรมทางหลวง
กระทรวงคมนาคม,กรมทางหลวงชนบท
กระทรวงคมนาคม,สำนักงานนโยบายและแผนการขนส่งและจราจร
กระทรวงคมนาคม,กรมท่าอากาศยาน
กระทรวงคมนาคม,กรมการขนส่งทางราง
กระทรวงคมนาคม,สถาบันวิจัยและพัฒนาเทคโนโลยีระบบราง (องค์การมหาชน)
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,สำนักงานปลัดกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมควบคุมมลพิษ
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมทรัพยากรทางทะเลและชายฝั่ง
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมทรัพยากรธรณี
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมทรัพยากรน้ำ
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมทรัพยากรน้ำบาดาล
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,สำนักงานนโยบายและแผนทรัพยากรธรรมชาติและสิ่งแวดล้อม
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กรมป่าไม้
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,สำนักงานพัฒนาเศรษฐกิจจากฐานชีวภาพ (องค์การมหาชน)
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,องค์การบริหารจัดการก๊าซเรือนกระจก (องค์การมหาชน)
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สำนักงานปลัดกระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,กรมอุตุนิยมวิทยา
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สำนักงานสถิติแห่งชาติ
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สำนักงานส่งเสริมเศรษฐกิจดิจิทัล
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สำนักงานพัฒนาธุรกรรมทางอิเล็กทรอนิกส์
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สำนักงานคณะกรรมการคุ้มครองข้อมูลส่วนบุคคล
กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,สถาบันข้อมูลขนาดใหญ่ (องค์การมหาชน)
กระทรวงพลังงาน,สำนักงานปลัดกระทรวงพลังงาน
กระทรวงพลังงาน,กรมเชื้อเพลิงธรรมชาติ
กระทรวงพลังงาน,กรมธุรกิจพลังงาน
กระทรวงพลังงาน,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน
กระทรวงพลังงาน,สำนักงานนโยบายและแผนพลังงาน
กระทรวงพาณิชย์,สำนักงานปลัดกระทรวงพาณิชย์
กระทรวงพาณิชย์,กรมการค้าต่างประเทศ
กระทรวงพาณิชย์,กรมการค้าภายใน
กระทรวงพาณิชย์,กรมเจรจาการค้าระหว่างประเทศ
กระทรวงพาณิชย์,กรมทรัพย์สินทางปัญญา
กระทรวงพาณิชย์,กรมพัฒนาธุรกิจการค้า
กระทรวงพาณิชย์,กรมส่งเสริมการค้าระหว่างประเทศ
กระทรวงพาณิชย์,สถาบันส่งเสริมศิลปหัตถกรรมไทย (องค์การมหาชน)
กระทรวงพาณิชย์,สถาบันวิจัยและพัฒนาอัญมณีและเครื่องประดับแห่งชาติ (องค์การมหาชน)
กระทรวงพาณิชย์,สำนักงานนโยบายและยุทธศาสตร์การค้า
กระทรวงพาณิชย์,สถาบันระหว่างประเทศเพื่อการค้าและการพัฒนา (องค์การมหาชน)
กระทรวงมหาดไทย,สำนักงานปลัดกระทรวงมหาดไทย
กระทรวงมหาดไทย,กรมการปกครอง
กระทรวงมหาดไทย,กรมการพัฒนาชุมชน
กระทรวงมหาดไทย,กรมที่ดิน
กระทรวงมหาดไทย,กรมป้องกันและบรรเทาสาธารณภัย
กระทรวงมหาดไทย,กรมโยธาธิการและผังเมือง
กระทรวงมหาดไทย,กรมส่งเสริมการปกครองท้องถิ่น
กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม
กระทรวงยุติธรรม,กรมคุมประพฤติ
กระทรวงยุติธรรม,กรมคุ้มครองสิทธิและเสรีภาพ
กระทรวงยุติธรรม,กรมบังคับคดี
กระทรวงยุติธรรม,กรมพินิจและคุ้มครองเด็กและเยาวชน
กระทรวงยุติธรรม,กรมราชทัณฑ์
กระทรวงยุติธรรม,กรมสอบสวนคดีพิเศษ
กระทรวงยุติธรรม,สำนักงานกิจการยุติธรรม
กระทรวงยุติธรรม,สถาบันนิติวิทยาศาสตร์
กระทรวงยุติธรรม,สำนักงานคณะกรรมการป้องกันและปราบปรามยาเสพติด
กระทรวงยุติธรรม,สถาบันเพื่อการยุติธรรมแห่งประเทศไทย (องค์การมหาชน)
กระทรวงยุติธรรม,สถาบันอนุญาโตตุลาการ
กระทรวงแรงงาน,สำนักงานปลัดกระทรวงแรงงาน
กระทรวงแรงงาน,กรมการจัดหางาน
กระทรวงแรงงาน,กรมพัฒนาฝีมือแรงงาน
กระทรวงแรงงาน,กรมสวัสดิการและคุ้มครองแรงงาน
กระทรวงแรงงาน,สำนักงานประกันสังคม
กระทรวงแรงงาน,สถาบันส่งเสริมความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน (องค์การมหาชน)
